Suburb,Relative Error (XGBoost)
GLEN OSMOND,3.543413734436035
BOLIVAR,3.2231495796688017
SALISBURY PARK,3.117970154020521
RIVERLEA PARK,2.6173478338453506
MILE END SOUTH,2.3082011010911727
EVANDALE,2.2989410559336343
MIMILI,2.218928840425279
TRINITY GARDENS,2.0900858508216014
CRAIGBURN FARM,2.068368673324585
HAZELWOOD PARK,1.982757568359375
MUNNO PARA DOWNS,1.8856267929077148
CLAPHAM,1.8338113725185394
PUKATJA,1.7473005851109822
TOTNESS,1.695069154103597
LOWER LIGHT,1.6679048538208008
JAMESTOWN,1.5615098476409912
MALVERN,1.4901432726118298
KESWICK TERMINAL,1.47344970703125
PENFIELD GARDENS,1.4725836912790935
HIGHGATE,1.4649895429611206
NORTHERN HEIGHTS,1.4385473728179932
ENCOUNTER BAY,1.4371965101787023
TWO WELLS,1.4345313443077936
NANGWARRY,1.4293925762176514
EDEN HILLS,1.4045182069142659
MONASH,1.4002439975738525
WOODSIDE,1.3818250894546509
SHEIDOW PARK,1.3747840629052863
MAYLANDS,1.36896636750963
EYRE,1.3619746128718058
GOOLWA SOUTH,1.3540820015801325
PETERBOROUGH,1.2955651707119413
TRURO,1.2784900665283203
NOVAR GARDENS,1.2730638866231898
SEFTON PARK,1.2698754522535536
BEAUMONT,1.2512043317159016
ALLENBY GARDENS,1.250299294789632
OLYMPIC DAM,1.2141937017440796
MOORAK,1.198278784751892
KESWICK,1.1857527944776747
FITZROY,1.173501968383789
ONE TREE HILL,1.144696553548177
YALATA,1.1426499896579319
EVERARD PARK,1.1336685021718342
OLD NOARLUNGA,1.12062851155678
MASLIN BEACH,1.1171936988830566
BELAIR,1.116122881571452
ST GEORGES,1.1087696154912312
WEST HINDMARSH,1.1029082271787856
HYDE PARK,1.1008431434631347
BURRA,1.0629007816314697
ST MARYS,1.0482658521093502
NAPPERBY,1.0380764404932659
HAYBOROUGH,1.0314459403355916
HACKNEY,1.0237346588619172
ALDINGA,1.0194861756430733
ST CLAIR,1.0081736249377433
STRATHALBYN,1.0056465556267191
KURRALTA PARK,0.981980065115137
PINNAROO,0.9617778857549032
BALHANNAH,0.9610073301527234
KIMBA,0.9593581557273865
THEVENARD,0.9527955373128255
MINLATON,0.9509134292602539
EDINBURGH NORTH,0.9451414346694946
PORT WILLUNGA,0.9435620705286661
FERRYDEN PARK,0.9326156457265218
LOBETHAL,0.9315414031346639
ERINDALE,0.9261379837989807
PORT NOARLUNGA SOUTH,0.9251396391126846
THORNGATE,0.9078186184468896
ROSEWORTHY,0.8941881656646729
HAMPSTEAD GARDENS,0.8800792429182264
ROSE PARK,0.8799702008565267
BELLEVUE HEIGHTS,0.8775758743286133
TROTT PARK,0.8762118021647135
KENSINGTON PARK,0.8748508393764496
WATTLE PARK,0.8720458348592123
KEITH,0.8670585751533508
DUBLIN,0.8593977689743042
MARRYATVILLE,0.8518156210581461
LYNDOCH,0.8494054476420084
CEDUNA,0.8432810376601138
CRYSTAL BROOK,0.8419382770856222
COWELL,0.8387311697006226
BEACHPORT,0.8360788822174072
HAWTHORNDENE,0.8337082068125407
SURREY DOWNS,0.8299997488657634
SEAFORD HEIGHTS,0.8142115672429403
WOODFORDE,0.8115111986796062
KENSINGTON GARDENS,0.811442110273573
EDINBURGH,0.8103502370693065
CRAFERS,0.8008732795715332
GILBERTON,0.7907872623867459
ONKAPARINGA HILLS,0.7895476619402567
FREWVILLE,0.786529332872421
LINDEN PARK,0.7830924590428671
MOONTA BAY,0.780720591545105
GLANDORE,0.7798894246419271
FLAGSTAFF HILL,0.7796282238430448
EVANSTON GARDENS,0.7754997942182752
UNDERDALE,0.7691400210062662
MANSFIELD PARK,0.7672447900900776
NETHERBY,0.7584259212017059
ROBE,0.7487306594848633
TUMBY BAY,0.7444093227386475
ST KILDA,0.738056461016337
BANKSIA PARK,0.7377281586329142
GOOLWA BEACH,0.7317421171400283
BEVERLEY,0.7309891170925563
DARLINGTON,0.7294696189739086
MARLESTON,0.7271734086294023
DEVON PARK,0.7263898014620899
LOCKLEYS,0.7159659826158178
WILLUNGA,0.6899130980173748
CUMBERLAND PARK,0.6835533613040123
BROADVIEW,0.6585627377979338
TOORAK GARDENS,0.6552056812104725
GLENBURNIE,0.6548206806182861
SOUTH BRIGHTON,0.6533637762069702
YANKALILLA,0.6515078147252401
HAWTHORN,0.6501277938721671
GLENGOWRIE,0.6394975429132228
PAYNEHAM SOUTH,0.6393601934115092
TRANMERE,0.6370761659410266
WHYALLA JENKINS,0.6265234325871323
MANNINGHAM,0.6204841613769532
BLACK FOREST,0.6189871496624416
PORT BROUGHTON,0.6188811659812927
SALISBURY SOUTH,0.6166234546237521
WELLAND,0.6119749914516102
STURT,0.6098224893964902
LONSDALE,0.6088978931157276
QUORN,0.6047128495715913
WALLAROO,0.6003615538279216
PENOLA,0.5998520851135254
BUCKLAND PARK,0.5976648330688477
REYNELLA EAST,0.5913570457034641
GLOSSOP,0.5907820065816244
QUEENSTOWN,0.5892344336224417
RISDON PARK,0.5873538804432702
MACDONALD PARK,0.5746749639511108
MOUNT COMPASS,0.5734755727979872
MILANG,0.5652292966842651
COROMANDEL VALLEY,0.5648153225580851
GLANVILLE,0.5638811349868774
HILTON,0.5616394527374752
KENSINGTON,0.5568134148915609
TANUNDA,0.554859975973765
EXETER,0.5490274691319728
WATERLOO CORNER,0.5480255197595667
RISDON PARK SOUTH,0.5465095504881844
SEACLIFF PARK,0.5433918332296704
MEADOWS,0.5399007201194763
MILLSWOOD,0.5379550740832374
OWEN,0.536149263381958
HILLCREST,0.5351800246256978
LITTLEHAMPTON,0.5342574252022637
HEWETT,0.5337325069639417
POINT PEARCE,0.5310194889704386
DULWICH,0.5302007330788506
STREAKY BAY,0.5294885635375977
TUSMORE,0.5258302092552185
WOODVILLE SOUTH,0.525129837153
STIRLING,0.5192099781263443
GOODWOOD,0.5170713799569744
MYPONGA,0.5161609649658203
WILLIAMSTOWN,0.5156844158967336
TORRENS PARK,0.513844108581543
ETHELTON,0.5113582062342811
REGENCY PARK,0.511005371335953
PARK HOLME,0.5023471349245542
SUTTONTOWN,0.5022855003674825
HENDON,0.502086727959769
NORTH PLYMPTON,0.5012534900947854
POORAKA,0.4992592126630114
WHYALLA BARSON,0.49622058868408203
KUDLA,0.49595161279042566
VICTOR HARBOR,0.49364834946471375
SEACOMBE HEIGHTS,0.4921616315841675
BUTE,0.4879273772239685
GLENUNGA,0.4864545211293339
CROYDON,0.48478788799709743
UNLEY PARK,0.48407909163722285
WESTBOURNE PARK,0.4768486999330066
NEW PORT,0.4756360451380412
SEAVIEW DOWNS,0.4733274832749978
SALISBURY PLAIN,0.46903389308884824
HILLIER,0.4684690634409587
MODBURY NORTH,0.46824037392414736
CLARENCE PARK,0.4664371003320207
LOWER MITCHAM,0.4640887379646301
BORDERTOWN,0.462632557702443
DAW PARK,0.45988814036051434
MIDDLETON,0.4595094389385647
MAITLAND,0.4594739390543414
WOODVILLE GARDENS,0.4580118523703682
GILLMAN,0.45700975259145105
MCCRACKEN,0.4560479455524021
GREEN FIELDS,0.4556378126144409
SEAFORD MEADOWS,0.45336796309613536
PARA VISTA,0.4509805910515063
ANGLE PARK,0.4459905588265622
KIDMAN PARK,0.44497516716554725
SALISBURY HEIGHTS,0.444397164715661
FAIRVIEW PARK,0.4423577653037177
LEWISTON,0.43852557883691534
GLENALTA,0.43743711709976196
RIDGEHAVEN,0.43595627830142064
SEMAPHORE SOUTH,0.4294914722442627
MCLAREN VALE,0.42933328946431476
WILLASTON,0.42898100393789784
SEAFORD,0.4242646444411505
SEMAPHORE PARK,0.42341890293798407
LEABROOK,0.42039620876312256
DAVOREN PARK,0.4174045408479852
COLLINSWOOD,0.41653696979795185
RENMARK,0.4159662679105556
BALAKLAVA,0.41425791392250666
SELLICKS BEACH,0.41283102035522456
SMITHFIELD,0.4058934431294842
GLENELG NORTH,0.4057514800368351
VALLEY VIEW,0.4055234807910341
ADELAIDE AIRPORT,0.40454275983214133
ASCOT PARK,0.4042212237183322
HAHNDORF,0.4028255409664578
FULLARTON,0.3987496855843182
MYRTLE BANK,0.3972331682840983
HENLEY BEACH,0.39567626659457905
JOSLIN,0.39472460746765137
GRANGE,0.3945495072358884
BRIDGEWATER,0.3941686020957099
PIPALYATJARA,0.39373327436901273
KINGSTON PARK,0.3936062018076579
TENNYSON,0.3908389210700989
BRIGHTON,0.3893452514301647
HENLEY BEACH SOUTH,0.3834334585401747
KINGSTON SE,0.38253772258758545
BEDFORD PARK,0.38140945960405775
HACKHAM,0.37854210673300565
KALTJITI,0.37842519415749437
PARADISE,0.3772924002151043
GLENELG SOUTH,0.3770178423987495
ATHELSTONE,0.3760174137332064
DAVENPORT,0.37554307912851304
EASTWOOD,0.37552061610751686
TAILEM BEND,0.37228781430408214
DERNANCOURT,0.3704494741227892
ELIZABETH EAST,0.3704240181990182
WOODVILLE NORTH,0.3684366552238791
MITCHAM,0.36620986461639404
ANGASTON,0.36481499671936035
KLEMZIG,0.3612518503208353
THEBARTON,0.3588402214504424
STIRLING NORTH,0.3581280700902931
WEST LAKES,0.35703415912808967
ALBERT PARK,0.3560087888959855
HOLDEN HILL,0.3558126173930846
MORPHETTVILLE,0.3549247853752906
ALDGATE,0.35332021448347306
CAMPBELLTOWN,0.3492050894085654
PARKSIDE,0.3480012281441394
MEDINDIE,0.3462440864118949
IWANTJA,0.3442883876839069
GLOBE DERBY PARK,0.34370832840601606
FULHAM GARDENS,0.3427422644335214
ATHOL PARK,0.3423858291500217
KILKENNY,0.34137885287974923
MOUNT GAMBIER,0.34053910317748315
PLYMPTON,0.3390261733858788
WEST LAKES SHORE,0.3388600817576111
DRY CREEK,0.3387844622393191
ROSEWATER,0.33866162241241077
BURTON,0.33856462344521715
SEATON,0.33827332010285804
OVINGHAM,0.33711655425210285
BIRKENHEAD,0.33686915654984734
ELIZABETH PARK,0.3364414559283826
HECTORVILLE,0.3348669883212752
PARA HILLS,0.3340536136819859
ELIZABETH SOUTH,0.329893050579129
TEA TREE GULLY,0.32615173754065924
MALLALA,0.32559476296106976
MARION,0.3238951454602967
BIRDWOOD,0.3222421407699585
PAYNEHAM,0.320037215285831
MOONTA,0.3167253780846644
BLACKWOOD,0.31660669997886376
CLEARVIEW,0.3165770588168472
WALKLEY HEIGHTS,0.3160388689192514
ROSTREVOR,0.31398553192300144
HACKHAM WEST,0.3116797005184113
HAPPY VALLEY,0.31162369054787215
MOANA,0.3098498616899763
WEST BEACH,0.3086395496559376
COWANDILLA,0.3079469362894694
CAMDEN PARK,0.3064052965275194
FORESTVILLE,0.3061137551353091
BEULAH PARK,0.30335715413093567
HINDMARSH ISLAND,0.29754961331685387
WEST RICHMOND,0.2971942755911085
NORMANVILLE,0.29660580688052707
EUDUNDA,0.29602664709091187
MUNNO PARA,0.2945644480730048
GLYNDE,0.29365863093623407
PENFIELD,0.292980440457662
COOBER PEDY,0.2913192902594181
HAWKER,0.28949177265167236
ANDREWS FARM,0.2875467943357634
ELIZABETH NORTH,0.2872374395180864
EVANSTON,0.2852966364317991
WYNN VALE,0.28513684443065096
CHELTENHAM,0.2838356053387677
NOARLUNGA DOWNS,0.2837048093560155
GLENSIDE,0.28219616567933714
ST AGNES,0.2821509325945819
MELROSE PARK,0.281963242424859
AMATA,0.28120292109301964
HOVE,0.2805507315529717
GLENELG EAST,0.2789907888932662
O'SULLIVAN BEACH,0.27836463564918157
SALISBURY,0.277843699841214
SEMAPHORE,0.2777045774004338
MOUNT BARKER,0.27640024597881835
NURIOOTPA,0.2758557411155315
KINGSCOTE,0.2743491053581238
WINGFIELD,0.2738488576351068
FLINDERS PARK,0.27210954030354817
NORTH HAVEN,0.2712111232256649
WAYVILLE,0.2702343667480932
EVANSTON SOUTH,0.2687777042388916
STEPNEY,0.2686668554941813
NORTH ADELAIDE,0.2685446953514565
MUNNO PARA WEST,0.2684012705477972
SALISBURY EAST,0.2677514794163842
PORT AUGUSTA,0.2676329340191382
LAMEROO,0.26726233959198
SOUTH PLYMPTON,0.2671010137005687
ASHFORD,0.2670351437159947
OAKDEN,0.2667793565326267
CHRISTIES BEACH,0.2650760910498402
SEACOMBE GARDENS,0.2640206397525848
DIREK,0.26357743853614446
BERRI,0.2633024808493772
KADINA,0.2628520008845207
GOLDEN GROVE,0.26143033203105903
REYNELLA,0.2565761006589659
SALISBURY NORTH,0.25643669676246694
PORT WAKEFIELD,0.25618317930689666
MANNUM,0.25570969228391294
MILLICENT,0.2546271617278392
REDWOOD PARK,0.2541031287002013
COLLEGE PARK,0.253768351342943
HILLBANK,0.2537542978922526
PORT LINCOLN,0.2537495351732528
FINDON,0.2516724377808994
EVANSTON PARK,0.25151748127407497
WHYALLA PLAYFORD,0.25095144432154814
PORT PIRIE WEST,0.25091048649379183
BOWDEN,0.24976243394793884
TAPEROO,0.24840569852288805
CHRISTIE DOWNS,0.2483475905573079
NEW TOWN,0.24644998709360758
ST PETERS,0.2450463268875884
NARACOORTE,0.2450339029996823
COLONEL LIGHT GARDENS,0.2447215663062202
ELIZABETH,0.24406227267717187
MAWSON LAKES,0.24079254173868136
HALLETT COVE,0.24054147906450418
MURRAY BRIDGE EAST,0.24047676722208658
WARRADALE,0.24001570202055433
GAWLER BELT,0.23866454760233563
GILLES PLAINS,0.23813757022987733
TORRENSVILLE,0.23609971955167727
MAGILL,0.23511410430396273
CAVAN,0.2339083777533637
BARMERA,0.23356293723696755
GOOLWA,0.2322258331157543
PETERHEAD,0.23215988923234546
NAIRNE,0.23166530493533974
PORT ADELAIDE,0.23033281350719007
PARAFIELD,0.2285246086317442
MODBURY,0.22766418900083607
NORTHFIELD,0.2272780881055341
VALE PARK,0.22625148689353858
SALISBURY DOWNS,0.22517493280235698
OSBORNE,0.2248368778508225
NETLEY,0.22449459632237753
UNLEY,0.22311863976525514
BROMPTON,0.22262323100310363
ROXBY DOWNS,0.22247705856959024
DOVER GARDENS,0.2222615605308896
GAWLER WEST,0.21943822051539566
RENOWN PARK,0.21910743039063732
FIRLE,0.21789879004160562
PLYMPTON PARK,0.21624264800757695
RICHMOND,0.21612444965592473
WINDSOR GARDENS,0.2146319856176843
PORT AUGUSTA WEST,0.213181739370414
HOPE VALLEY,0.2130375424504796
PARAFIELD GARDENS,0.21274254008166474
WHYALLA NORRIE,0.211877435705043
LARGS NORTH,0.2111197895473904
OTTOWAY,0.20835098095270463
LOXTON,0.2055060485052684
MODBURY HEIGHTS,0.20519657708980418
NORWOOD,0.20439456181552085
PENNINGTON,0.20418785144756366
ELIZABETH VALE,0.20357563903653908
GAWLER,0.2023118371633076
CLOVELLY PARK,0.20225194333091615
WOODCROFT,0.2015497366587321
OLD REYNELLA,0.2004430835474769
O'HALLORAN HILL,0.20026271663911163
FULHAM,0.19960846359476503
KENT TOWN,0.19959776257446168
PORT PIRIE,0.19629743611990746
NORTHGATE,0.19627298627580916
NORTH BRIGHTON,0.1959429150535947
GLENELG,0.19530329112133948
PARA HILLS WEST,0.19449511478384143
KAPUNDA,0.19429803976491722
BROOKLYN PARK,0.19114705413900399
ST MORRIS,0.1887470285097758
ALBERTON,0.18775941606551882
MARDEN,0.18654155753462476
PORT NOARLUNGA,0.18607158969836876
MORPHETT VALE,0.185107878778188
SOLOMONTOWN,0.18461724917093914
BURNSIDE,0.1827539987034268
WHYALLA STUART,0.1817946926032701
ANGLE VALE,0.18167444383758072
WHYALLA,0.17818121117727667
EDWARDSTOWN,0.17809900972795578
MURRAY BRIDGE,0.1777865595543476
WALKERVILLE,0.17656665689804973
BRAHMA LODGE,0.1738232890134135
LARGS BAY,0.17337289805340403
ROYSTON PARK,0.172590970993042
ALDINGA BEACH,0.17255590612447258
ELIZABETH DOWNS,0.17142788523705618
SMITHFIELD PLAINS,0.16785102058715032
RIDLEYTON,0.1666527744171174
GEPPS CROSS,0.15849319270850948
SEACLIFF,0.15807294277917772
WEST CROYDON,0.1557229972509361
GAWLER SOUTH,0.1536349796113514
HIGHBURY,0.15271174896553674
SOMERTON PARK,0.15169121197291782
GREENWITH,0.14959406021930258
ARDROSSAN,0.14781415462493896
WOODVILLE WEST,0.14528414082323385
GULFVIEW HEIGHTS,0.14524128172132703
HINDMARSH,0.1438064238037726
MORGAN,0.14267194271087646
FELIXSTOW,0.1409854253133138
KILBURN,0.13903657309251774
MILE END,0.13900042337084573
WOODVILLE PARK,0.13793580778061398
PASADENA,0.1373239590571477
ENFIELD,0.1349724994606686
GAWLER EAST,0.1345201218347107
ELIZABETH GROVE,0.1340068965917013
NEWTON,0.13365976660101264
HUNTFIELD HEIGHTS,0.12930966074727163
CRAIGMORE,0.12755199817189
VIRGINIA,0.1252243157038613
WOODVILLE,0.12384131949588446
ADELAIDE,0.12211840746407314
ROYAL PARK,0.12100048670693049
INGLE FARM,0.12061014675057669
BLAKEVIEW,0.12039877516983948
TONSLEY,0.12023405170945263
CLARE,0.1196869554973784
COFFIN BAY,0.11858785152435303
CROYDON PARK,0.11286517010813028
OAKLANDS PARK,0.11261528026164629
PROSPECT,0.11210620227702418
NAILSWORTH,0.1095702509400706
MITCHELL PARK,0.10829053819928713
BLANCHETOWN,0.10562187433242798
WAIKERIE,0.10085205391887979
KINGSWOOD,0.099790088335673
CLARENCE GARDENS,0.09855048921373155
SEAFORD RISE,0.09819892952345076
GREENACRES,0.09376140682979672
PANORAMA,0.09335941360110328
MARINO,0.089630126953125
DUDLEY PARK,0.08633590406841703
LIGHTSVIEW,0.07927388855905244
BLAIR ATHOL,0.07685328306035376
NOARLUNGA CENTRE,0.07598980866444065
PORT PIRIE SOUTH,0.06318473620292468
PARALOWIE,0.05998759000965554
PORT ELLIOT,0.058950423437451556
ABERFOYLE PARK,0.03552665958156833
KOONIBBA,0.022250652313232422
MENINGIE,0.01568588614463806
GLENDAMBO,0.0010813474655151367
